OA,geography_code
N20000001,N21000001
N20000002,N21000002
N20000003,N21000001
N20000004,N21000001
N20000005,N21000002
N20000006,N21000001
N20000007,N21000003
N20000008,N21000001
N20000009,N21000001
N20000010,N21000002
N20000011,N21000004
N20000012,N21000004
N20000013,N21000006
N20000014,N21000004
N20000015,N21000003
N20000016,N21000005
N20000017,N21000005
N20000018,N21000005
N20000019,N21000004
N20000020,N21000004
N20000021,N21000005
N20000022,N21000003
N20000023,N21000004
N20000024,N21000003
N20000025,N21000006
N20000026,N21000002
N20000027,N21000006
N20000028,N21000006
N20000029,N21000006
N20000030,N21000002
N20000031,N21000002
N20000032,N21000006
N20000033,N21000006
N20000034,N21000006
N20000035,N21000007
N20000036,N21000007
N20000037,N21000007
N20000038,N21000008
N20000039,N21000008
N20000040,N21000007
N20000041,N21000009
N20000042,N21000008
N20000043,N21000010
N20000044,N21000009
N20000045,N21000009
N20000046,N21000010
N20000047,N21000010
N20000048,N21000009
N20000049,N21000013
N20000050,N21000011
N20000051,N21000012
N20000052,N21000012
N20000053,N21000011
N20000054,N21000010
N20000055,N21000011
N20000056,N21000011
N20000057,N21000013
N20000058,N21000014
N20000059,N21000012
N20000060,N21000015
N20000061,N21000014
N20000062,N21000014
N20000063,N21000013
N20000064,N21000015
N20000065,N21000015
N20000066,N21000016
N20000067,N21000016
N20000068,N21000013
N20000069,N21000017
N20000070,N21000015
N20000071,N21000013
N20000072,N21000017
N20000073,N21000012
N20000074,N21000016
N20000075,N21000017
N20000076,N21000018
N20000077,N21000018
N20000078,N21000012
N20000079,N21000016
N20000080,N21000015
N20000081,N21000018
N20000082,N21000016
N20000083,N21000018
N20000084,N21000018
N20000085,N21000017
N20000086,N21000024
N20000087,N21000019
N20000088,N21000024
N20000089,N21000024
N20000090,N21000020
N20000091,N21000019
N20000092,N21000020
N20000093,N21000020
N20000094,N21000020
N20000095,N21000021
N20000096,N21000019
N20000097,N21000020
N20000098,N21000022
N20000099,N21000019
N20000100,N21000024
N20000101,N21000022
N20000102,N21000022
N20000103,N21000021
N20000104,N21000021
N20000105,N21000021
N20000106,N21000022
N20000107,N21000022
N20000108,N21000021
N20000109,N21000023
N20000110,N21000023
N20000111,N21000023
N20000112,N21000021
N20000113,N21000022
N20000114,N21000023
N20000115,N21000023
N20000116,N21000025
N20000117,N21000025
N20000118,N21000025
N20000119,N21000025
N20000120,N21000026
N20000121,N21000024
N20000122,N21000026
N20000123,N21000026
N20000124,N21000027
N20000125,N21000028
N20000126,N21000029
N20000127,N21000027
N20000128,N21000029
N20000129,N21000027
N20000130,N21000030
N20000131,N21000027
N20000132,N21000031
N20000133,N21000029
N20000134,N21000031
N20000135,N21000030
N20000136,N21000030
N20000137,N21000028
N20000138,N21000036
N20000139,N21000028
N20000140,N21000033
N20000141,N21000027
N20000142,N21000032
N20000143,N21000031
N20000144,N21000030
N20000145,N21000032
N20000146,N21000035
N20000147,N21000032
N20000148,N21000034
N20000149,N21000031
N20000150,N21000035
N20000151,N21000034
N20000152,N21000033
N20000153,N21000036
N20000154,N21000032
N20000155,N21000035
N20000156,N21000034
N20000157,N21000034
N20000158,N21000033
N20000159,N21000035
N20000160,N21000033
N20000161,N21000036
N20000162,N21000033
N20000163,N21000036
N20000164,N21000037
N20000165,N21000037
N20000166,N21000038
N20000167,N21000038
N20000168,N21000039
N20000169,N21000038
N20000170,N21000039
N20000171,N21000039
N20000172,N21000038
N20000173,N21000037
N20000174,N21000040
N20000175,N21000039
N20000176,N21000039
N20000177,N21000038
N20000178,N21000041
N20000179,N21000041
N20000180,N21000040
N20000181,N21000042
N20000182,N21000040
N20000183,N21000042
N20000184,N21000042
N20000185,N21000041
N20000186,N21000044
N20000187,N21000042
N20000188,N21000044
N20000189,N21000045
N20000190,N21000043
N20000191,N21000041
N20000192,N21000043
N20000193,N21000043
N20000194,N21000046
N20000195,N21000043
N20000196,N21000045
N20000197,N21000046
N20000198,N21000046
N20000199,N21000043
N20000200,N21000046
N20000201,N21000045
N20000202,N21000046
N20000203,N21000045
N20000204,N21000045
N20000205,N21000044
N20000206,N21000044
N20000207,N21000047
N20000208,N21000047
N20000209,N21000047
N20000210,N21000047
N20000211,N21000050
N20000212,N21000048
N20000213,N21000048
N20000214,N21000049
N20000215,N21000050
N20000216,N21000049
N20000217,N21000048
N20000218,N21000049
N20000219,N21000050
N20000220,N21000049
N20000221,N21000051
N20000222,N21000052
N20000223,N21000051
N20000224,N21000049
N20000225,N21000052
N20000226,N21000051
N20000227,N21000050
N20000228,N21000052
N20000229,N21000052
